Los Angeles Dodgers,3,Arizona D'Backs,1
Los Angeles Dodgers,7,Arizona D'Backs,5
Los Angeles Dodgers,1,San Diego Padres,3
Seattle Mariners,10,LA Angels of Anaheim,3
San Francisco Giants,9,Arizona D'Backs,8
Boston Red Sox,1,Baltimore Orioles,2
Minnesota Twins,3,Chicago White Sox,5
St. Louis Cardinals,1,Cincinnati Reds,0
Kansas City Royals,3,Detroit Tigers,4
Colorado Rockies,1,Miami Marlins,10
Atlanta Braves,0,Milwaukee Brewers,2
Washington Nationals,9,New York Mets,7
Cleveland Indians,2,Oakland Athletics,0
Chicago Cubs,0,Pittsburgh Pirates,1
Toronto Blue Jays,2,Tampa Bay Rays,9
Philadelphia Phillies,14,Texas Rangers,10
Seattle Mariners,8,LA Angels of Anaheim,3
San Francisco Giants,4,Arizona D'Backs,5
New York Yankees,2,Houston Astros,6
Colorado Rockies,3,Miami Marlins,4
Atlanta Braves,5,Milwaukee Brewers,2
Los Angeles Dodgers,3,San Diego Padres,2
Toronto Blue Jays,4,Tampa Bay Rays,2
Philadelphia Phillies,2,Texas Rangers,3
Seattle Mariners,8,LA Angels of Anaheim,2
San Francisco Giants,2,Arizona D'Backs,0
Boston Red Sox,6,Baltimore Orioles,2
Minnesota Twins,6,Chicago White Sox,7
St. Louis Cardinals,0,Cincinnati Reds,1
Kansas City Royals,1,Detroit Tigers,2
New York Yankees,1,Houston Astros,3
Colorado Rockies,6,Miami Marlins,5
Atlanta Braves,1,Milwaukee Brewers,0
Washington Nationals,5,New York Mets,1
Cleveland Indians,1,Oakland Athletics,6
Cleveland Indians,6,Oakland Athletics,4
Chicago Cubs,3,Pittsburgh Pirates,4
Los Angeles Dodgers,5,San Diego Padres,1
Toronto Blue Jays,3,Tampa Bay Rays,0
Philadelphia Phillies,3,Texas Rangers,4
San Francisco Giants,8,Arizona D'Backs,5
Boston Red Sox,4,Baltimore Orioles,3
Minnesota Twins,10,Chicago White Sox,9
St. Louis Cardinals,7,Cincinnati Reds,6
New York Yankees,4,Houston Astros,2
Colorado Rockies,5,Miami Marlins,8
Washington Nationals,8,New York Mets,2
Seattle Mariners,2,Oakland Athletics,3
Chicago Cubs,3,Pittsburgh Pirates,2
Toronto Blue Jays,2,Tampa Bay Rays,7
Milwaukee Brewers,6,Boston Red Sox,2
Philadelphia Phillies,7,Chicago Cubs,2
Minnesota Twins,2,Cleveland Indians,7
Arizona D'Backs,2,Colorado Rockies,12
Baltimore Orioles,4,Detroit Tigers,10
LA Angels of Anaheim,11,Houston Astros,1
Chicago White Sox,5,Kansas City Royals,7
San Francisco Giants,8,Los Angeles Dodgers,4
San Diego Padres,2,Miami Marlins,8
Cincinnati Reds,3,New York Mets,4
St. Louis Cardinals,2,Pittsburgh Pirates,12
Texas Rangers,1,Tampa Bay Rays,8
New York Yankees,7,Toronto Blue Jays,3
Atlanta Braves,2,Washington Nationals,1
Milwaukee Brewers,7,Boston Red Sox,6
Philadelphia Phillies,2,Chicago Cubs,0
Minnesota Twins,7,Cleveland Indians,3
Arizona D'Backs,4,Colorado Rockies,9
Baltimore Orioles,6,Detroit Tigers,7
LA Angels of Anaheim,5,Houston Astros,1
Chicago White Sox,3,Kansas City Royals,4
San Francisco Giants,7,Los Angeles Dodgers,2
San Diego Padres,0,Miami Marlins,5
Cincinnati Reds,3,New York Mets,6
Seattle Mariners,3,Oakland Athletics,1
St. Louis Cardinals,6,Pittsburgh Pirates,1
Texas Rangers,4,Tampa Bay Rays,5
New York Yankees,0,Toronto Blue Jays,4
Atlanta Braves,6,Washington Nationals,2
Milwaukee Brewers,4,Boston Red Sox,0
Philadelphia Phillies,3,Chicago Cubs,8
Minnesota Twins,10,Cleveland Indians,7
Arizona D'Backs,5,Colorado Rockies,3
Baltimore Orioles,3,Detroit Tigers,1
LA Angels of Anaheim,4,Houston Astros,7
Chicago White Sox,5,Kansas City Royals,1
San Francisco Giants,2,Los Angeles Dodgers,6
San Diego Padres,4,Miami Marlins,2
Cincinnati Reds,2,New York Mets,1
Seattle Mariners,3,Oakland Athletics,6
St. Louis Cardinals,1,Pittsburgh Pirates,2
Texas Rangers,3,Tampa Bay Rays,0
New York Yankees,6,Toronto Blue Jays,4
Atlanta Braves,1,Washington Nationals,2
Texas Rangers,1,Boston Red Sox,5
Chicago White Sox,1,Colorado Rockies,8
LA Angels of Anaheim,9,Houston Astros,1
Tampa Bay Rays,2,Kansas City Royals,4
Oakland Athletics,8,Minnesota Twins,3
Baltimore Orioles,2,New York Yankees,4
Cincinnati Reds,3,St. Louis Cardinals,5
New York Mets,4,Atlanta Braves,0
Texas Rangers,10,Boston Red Sox,7
Pittsburgh Pirates,7,Chicago Cubs,6
San Diego Padres,6,Cleveland Indians,8
Chicago White Sox,15,Colorado Rockies,3
Tampa Bay Rays,1,Kansas City Royals,0
Detroit Tigers,2,Los Angeles Dodgers,3
Baltimore Orioles,14,New York Yankees,5
Milwaukee Brewers,10,Philadelphia Phillies,4
LA Angels of Anaheim,3,Seattle Mariners,5
Arizona D'Backs,3,San Francisco Giants,7
Cincinnati Reds,5,St. Louis Cardinals,7
Houston Astros,2,Toronto Blue Jays,5
Miami Marlins,0,Washington Nationals,5
New York Mets,3,Atlanta Braves,4
Texas Rangers,2,Boston Red Sox,4
Pittsburgh Pirates,5,Chicago Cubs,7
San Diego Padres,0,Cleveland Indians,2
San Diego Padres,2,Cleveland Indians,1
Chicago White Sox,4,Colorado Rockies,10
Tampa Bay Rays,3,Kansas City Royals,7
Detroit Tigers,7,Los Angeles Dodgers,6
Oakland Athletics,7,Minnesota Twins,4
Baltimore Orioles,5,New York Yankees,4
Milwaukee Brewers,9,Philadelphia Phillies,4
LA Angels of Anaheim,2,Seattle Mariners,0
Arizona D'Backs,7,San Francisco Giants,3
Cincinnati Reds,4,St. Louis Cardinals,0
Houston Astros,3,Toronto Blue Jays,7
Miami Marlins,7,Washington Nationals,10
New York Mets,6,Atlanta Braves,4
Cleveland Indians,3,Chicago White Sox,7
Pittsburgh Pirates,5,Chicago Cubs,4
Oakland Athletics,6,Minnesota Twins,1
Boston Red Sox,1,New York Yankees,4
Milwaukee Brewers,6,Philadelphia Phillies,2
Arizona D'Backs,6,San Francisco Giants,5
Houston Astros,6,Toronto Blue Jays,4
Miami Marlins,1,Washington Nationals,7
New York Mets,4,LA Angels of Anaheim,5
Los Angeles Dodgers,6,Arizona D'Backs,0
Washington Nationals,6,Atlanta Braves,7
Toronto Blue Jays,2,Baltimore Orioles,0
Cleveland Indians,6,Chicago White Sox,9
Tampa Bay Rays,2,Cincinnati Reds,1
Pittsburgh Pirates,2,Milwaukee Brewers,4
Kansas City Royals,1,Minnesota Twins,10
Boston Red Sox,4,New York Yankees,2
Miami Marlins,3,Philadelphia Phillies,6
Detroit Tigers,0,San Diego Padres,6
Oakland Athletics,4,Seattle Mariners,6
Colorado Rockies,5,San Francisco Giants,6
Chicago Cubs,6,St. Louis Cardinals,3
Houston Astros,0,Texas Rangers,1
New York Mets,7,LA Angels of Anaheim,6
Los Angeles Dodgers,8,Arizona D'Backs,5
Washington Nationals,3,Atlanta Braves,6
Toronto Blue Jays,1,Baltimore Orioles,2
Cleveland Indians,12,Chicago White Sox,6
Tampa Bay Rays,1,Cincinnati Reds,0
Pittsburgh Pirates,2,Milwaukee Brewers,3
Kansas City Royals,1,Minnesota Twins,7
Boston Red Sox,4,New York Yankees,7
Miami Marlins,4,Philadelphia Phillies,5
Detroit Tigers,6,San Diego Padres,2
Oakland Athletics,3,Seattle Mariners,1
Colorado Rockies,1,San Francisco Giants,0
Chicago Cubs,4,St. Louis Cardinals,10
Houston Astros,6,Texas Rangers,5
New York Mets,2,LA Angels of Anaheim,14
Los Angeles Dodgers,8,Arizona D'Backs,6
Washington Nationals,2,Atlanta Braves,10
Toronto Blue Jays,11,Baltimore Orioles,3
Cleveland Indians,3,Chicago White Sox,4
Tampa Bay Rays,4,Cincinnati Reds,12
Pittsburgh Pirates,1,Milwaukee Brewers,4
Kansas City Royals,3,Minnesota Twins,4
Boston Red Sox,2,New York Yankees,3
Miami Marlins,3,Philadelphia Phillies,4
Detroit Tigers,1,San Diego Padres,5
Oakland Athletics,3,Seattle Mariners,0
Colorado Rockies,4,San Francisco Giants,5
Chicago Cubs,4,St. Louis Cardinals,6
Houston Astros,0,Texas Rangers,1
Oakland Athletics,3,LA Angels of Anaheim,2
New York Mets,7,Arizona D'Backs,3
Tampa Bay Rays,1,Baltimore Orioles,7
Pittsburgh Pirates,8,Cincinnati Reds,7
Washington Nationals,9,Miami Marlins,2
St. Louis Cardinals,4,Milwaukee Brewers,0
Atlanta Braves,9,Philadelphia Phillies,6
Colorado Rockies,4,San Diego Padres,5
Seattle Mariners,7,Texas Rangers,1
Oakland Athletics,10,LA Angels of Anaheim,9
New York Mets,9,Arizona D'Backs,0
Boston Red Sox,1,Chicago White Sox,2
Pittsburgh Pirates,5,Cincinnati Reds,7
Kansas City Royals,4,Houston Astros,2
Washington Nationals,2,Miami Marlins,11
St. Louis Cardinals,6,Milwaukee Brewers,1
Toronto Blue Jays,9,Minnesota Twins,3
Colorado Rockies,3,San Diego Padres,2
Los Angeles Dodgers,2,San Francisco Giants,3
Seattle Mariners,0,Texas Rangers,5
Oakland Athletics,4,LA Angels of Anaheim,5
New York Mets,5,Arizona D'Backs,2
Tampa Bay Rays,0,Baltimore Orioles,3
Boston Red Sox,6,Chicago White Sox,4
Pittsburgh Pirates,0,Cincinnati Reds,4
Cleveland Indians,3,Detroit Tigers,2
Kansas City Royals,6,Houston Astros,4
Washington Nationals,6,Miami Marlins,3
St. Louis Cardinals,1,Milwaukee Brewers,5
Chicago Cubs,0,New York Yankees,3
Chicago Cubs,0,New York Yankees,2
Atlanta Braves,1,Philadelphia Phillies,0
Colorado Rockies,2,San Diego Padres,4
Los Angeles Dodgers,1,San Francisco Giants,2
Seattle Mariners,2,Texas Rangers,3
Boston Red Sox,3,Chicago White Sox,1
Cleveland Indians,5,Detroit Tigers,7
Kansas City Royals,5,Houston Astros,1
Toronto Blue Jays,0,Minnesota Twins,7
Toronto Blue Jays,5,Minnesota Twins,9
Atlanta Braves,0,Philadelphia Phillies,1
Milwaukee Brewers,2,Pittsburgh Pirates,11
Colorado Rockies,3,San Diego Padres,1
Los Angeles Dodgers,2,San Francisco Giants,1
New York Yankees,10,Tampa Bay Rays,2
Seattle Mariners,6,Texas Rangers,8
St. Louis Cardinals,8,Washington Nationals,0
Baltimore Orioles,8,Boston Red Sox,4
Cincinnati Reds,4,Chicago Cubs,1
Toronto Blue Jays,3,Cleveland Indians,2
Philadelphia Phillies,1,Colorado Rockies,12
LA Angels of Anaheim,11,Detroit Tigers,6
Minnesota Twins,0,Kansas City Royals,5
Arizona D'Backs,4,Los Angeles Dodgers,2
Seattle Mariners,4,Miami Marlins,8
Atlanta Braves,6,New York Mets,0
Houston Astros,3,Oakland Athletics,11
Milwaukee Brewers,5,Pittsburgh Pirates,3
San Francisco Giants,1,San Diego Padres,2
New York Yankees,5,Tampa Bay Rays,11
Chicago White Sox,0,Texas Rangers,12
St. Louis Cardinals,1,Washington Nationals,3
Baltimore Orioles,2,Boston Red Sox,4
Cincinnati Reds,4,Chicago Cubs,8
Toronto Blue Jays,5,Cleveland Indians,0
Philadelphia Phillies,1,Colorado Rockies,3
LA Angels of Anaheim,2,Detroit Tigers,5
Minnesota Twins,4,Kansas City Royals,5
Arizona D'Backs,6,Los Angeles Dodgers,8
Seattle Mariners,0,Miami Marlins,7
Atlanta Braves,7,New York Mets,5
Houston Astros,3,Oakland Athletics,4
Milwaukee Brewers,8,Pittsburgh Pirates,7
San Francisco Giants,1,San Diego Padres,3
New York Yankees,1,Tampa Bay Rays,16
Chicago White Sox,3,Texas Rangers,6
St. Louis Cardinals,4,Washington Nationals,3
Baltimore Orioles,5,Boston Red Sox,6
Cincinnati Reds,8,Chicago Cubs,2
Toronto Blue Jays,4,Cleveland Indians,6
Philadelphia Phillies,10,Colorado Rockies,9
LA Angels of Anaheim,1,Detroit Tigers,2
Minnesota Twins,8,Kansas City Royals,3
