Texas Rangers,2,Houston Astros,8
St. Louis Cardinals,2,Arizona D'Backs,6
Philadelphia Phillies,5,Atlanta Braves,7
Kansas City Royals,0,Chicago White Sox,1
LA Angels of Anaheim,3,Cincinnati Reds,1
San Francisco Giants,0,Los Angeles Dodgers,4
Colorado Rockies,4,Milwaukee Brewers,5
Detroit Tigers,4,Minnesota Twins,2
Boston Red Sox,8,New York Yankees,2
San Diego Padres,2,New York Mets,11
Seattle Mariners,2,Oakland Athletics,0
Chicago Cubs,3,Pittsburgh Pirates,1
Miami Marlins,0,Washington Nationals,2
St. Louis Cardinals,6,Arizona D'Backs,1
Texas Rangers,7,Houston Astros,0
San Francisco Giants,3,Los Angeles Dodgers,0
Colorado Rockies,8,Milwaukee Brewers,4
Seattle Mariners,7,Oakland Athletics,1
Baltimore Orioles,7,Tampa Bay Rays,4
Cleveland Indians,4,Toronto Blue Jays,1
St. Louis Cardinals,9,Arizona D'Backs,10
Philadelphia Phillies,2,Atlanta Braves,9
Kansas City Royals,2,Chicago White Sox,5
LA Angels of Anaheim,4,Cincinnati Reds,5
Texas Rangers,4,Houston Astros,0
San Francisco Giants,5,Los Angeles Dodgers,3
Colorado Rockies,7,Milwaukee Brewers,3
Detroit Tigers,2,Minnesota Twins,3
Boston Red Sox,7,New York Yankees,4
San Diego Padres,4,New York Mets,8
Seattle Mariners,2,Oakland Athletics,6
Chicago Cubs,0,Pittsburgh Pirates,3
Baltimore Orioles,7,Tampa Bay Rays,8
Cleveland Indians,3,Toronto Blue Jays,2
Miami Marlins,0,Washington Nationals,3
Philadelphia Phillies,2,Atlanta Braves,0
Kansas City Royals,3,Chicago White Sox,1
LA Angels of Anaheim,4,Cincinnati Reds,5
Detroit Tigers,2,Minnesota Twins,8
Boston Red Sox,2,New York Yankees,4
San Diego Padres,2,New York Mets,1
Seattle Mariners,2,Oakland Athletics,8
Chicago Cubs,3,Pittsburgh Pirates,2
Baltimore Orioles,6,Tampa Bay Rays,3
Cleveland Indians,8,Toronto Blue Jays,10
Miami Marlins,1,Washington Nationals,6
Chicago Cubs,1,Atlanta Braves,4
Minnesota Twins,5,Baltimore Orioles,9
Seattle Mariners,8,Chicago White Sox,7
Washington Nationals,0,Cincinnati Reds,15
San Diego Padres,2,Colorado Rockies,5
New York Yankees,3,Detroit Tigers,8
Oakland Athletics,8,Houston Astros,3
