Colorado Rockies,2,Arizona D'Backs,8
Philadelphia Phillies,5,Atlanta Braves,8
Minnesota Twins,2,Baltimore Orioles,3
Chicago White Sox,14,Kansas City Royals,7
San Francisco Giants,1,Los Angeles Dodgers,0
Chicago Cubs,8,Miami Marlins,4
St. Louis Cardinals,4,New York Mets,9
Los Angeles Angels,5,Oakland Athletics,6
Milwaukee Brewers,2,San Diego Padres,1
Cleveland Indians,1,Seattle Mariners,2
Boston Red Sox,4,Tampa Bay Rays,6
Houston Astros,4,Texas Rangers,1
New York Yankees,6,Toronto Blue Jays,1
Colorado Rockies,8,Arizona D'Backs,9
Philadelphia Phillies,5,Atlanta Braves,4
Washington Nationals,2,Cincinnati Reds,0
Pittsburgh Pirates,13,Detroit Tigers,10
San Francisco Giants,1,Los Angeles Dodgers,0
Chicago Cubs,1,Miami Marlins,2
Los Angeles Angels,2,Oakland Athletics,1
Milwaukee Brewers,8,San Diego Padres,6
Boston Red Sox,1,Tampa Bay Rays,0
Houston Astros,1,Texas Rangers,5
New York Yankees,4,Toronto Blue Jays,2
Colorado Rockies,2,Arizona D'Backs,1
Philadelphia Phillies,2,Atlanta Braves,15
Minnesota Twins,6,Baltimore Orioles,2
Washington Nationals,13,Cincinnati Reds,7
Chicago White Sox,4,Kansas City Royals,3
San Francisco Giants,0,Los Angeles Dodgers,5
Chicago Cubs,10,Miami Marlins,6
St. Louis Cardinals,2,New York Mets,6
Los Angeles Angels,8,Oakland Athletics,3
Milwaukee Brewers,7,San Diego Padres,3
Cleveland Indians,6,Seattle Mariners,5
Boston Red Sox,3,Tampa Bay Rays,2
Houston Astros,9,Texas Rangers,3
New York Yankees,3,Toronto Blue Jays,5
Minnesota Twins,7,Baltimore Orioles,0
Washington Nationals,6,Cincinnati Reds,5
Pittsburgh Pirates,1,Detroit Tigers,0
Pittsburgh Pirates,8,Detroit Tigers,6
San Francisco Giants,0,Los Angeles Dodgers,9
Chicago Cubs,0,Miami Marlins,6
St. Louis Cardinals,5,New York Mets,1
Los Angeles Angels,7,Oakland Athletics,4
Cleveland Indians,4,Seattle Mariners,5
Boston Red Sox,2,Tampa Bay Rays,1
Houston Astros,8,Texas Rangers,2
New York Yankees,4,Toronto Blue Jays,7
Cleveland Indians,6,Los Angeles Angels,0
Los Angeles Dodgers,7,Arizona D'Backs,8
Washington Nationals,8,Atlanta Braves,1
Chicago Cubs,0,Cincinnati Reds,1
Kansas City Royals,1,Detroit Tigers,6
Baltimore Orioles,1,Houston Astros,6
Boston Red Sox,7,Miami Marlins,3
St. Louis Cardinals,8,Milwaukee Brewers,4
Texas Rangers,1,Oakland Athletics,3
Minnesota Twins,4,Pittsburgh Pirates,5
Colorado Rockies,7,San Diego Padres,4
Chicago White Sox,2,Toronto Blue Jays,4
Cleveland Indians,2,Los Angeles Angels,13
Los Angeles Dodgers,1,Arizona D'Backs,6
Washington Nationals,6,Atlanta Braves,13
Kansas City Royals,1,Detroit Tigers,0
Baltimore Orioles,6,Houston Astros,10
Boston Red Sox,4,Miami Marlins,2
St. Louis Cardinals,4,Milwaukee Brewers,5
Tampa Bay Rays,4,New York Yankees,11
Philadelphia Phillies,0,New York Mets,2
Texas Rangers,4,Oakland Athletics,1
Colorado Rockies,4,San Diego Padres,8
Seattle Mariners,6,San Francisco Giants,4
Chicago White Sox,5,Toronto Blue Jays,14
Cleveland Indians,2,Los Angeles Angels,3
Los Angeles Dodgers,0,Arizona D'Backs,3
Washington Nationals,1,Atlanta Braves,7
Baltimore Orioles,2,Houston Astros,3
St. Louis Cardinals,6,Milwaukee Brewers,0
Tampa Bay Rays,2,New York Yankees,7
Philadelphia Phillies,2,New York Mets,4
Texas Rangers,2,Oakland Athletics,6
Minnesota Twins,7,Pittsburgh Pirates,3
Colorado Rockies,5,San Diego Padres,2
Seattle Mariners,1,San Francisco Giants,10
Chicago White Sox,4,Toronto Blue Jays,3
Tampa Bay Rays,2,Boston Red Sox,3
Detroit Tigers,9,Chicago White Sox,7
Chicago Cubs,8,Milwaukee Brewers,0
Seattle Mariners,2,Minnesota Twins,4
Baltimore Orioles,5,New York Yankees,2
Texas Rangers,6,Oakland Athletics,3
Miami Marlins,0,Philadelphia Phillies,5
Cincinnati Reds,2,Pittsburgh Pirates,5
Colorado Rockies,3,San Diego Padres,1
Arizona D'Backs,3,St. Louis Cardinals,1
New York Mets,8,Washington Nationals,2
Oakland Athletics,9,Los Angeles Angels,13
Kansas City Royals,2,Cleveland Indians,3
Atlanta Braves,8,Colorado Rockies,3
San Diego Padres,4,Houston Astros,1
Chicago Cubs,4,Milwaukee Brewers,5
Baltimore Orioles,7,New York Yankees,3
Cincinnati Reds,3,Pittsburgh Pirates,14
Toronto Blue Jays,8,Texas Rangers,5
Oakland Athletics,7,Los Angeles Angels,3
Tampa Bay Rays,3,Boston Red Sox,10
Detroit Tigers,6,Chicago White Sox,1
Kansas City Royals,1,Cleveland Indians,0
Atlanta Braves,2,Colorado Rockies,3
San Diego Padres,0,Houston Astros,1
Chicago Cubs,5,Milwaukee Brewers,2
Seattle Mariners,11,Minnesota Twins,4
Baltimore Orioles,3,New York Yankees,8
Miami Marlins,1,Philadelphia Phillies,20
Cincinnati Reds,7,Pittsburgh Pirates,4
Los Angeles Dodgers,5,San Francisco Giants,7
Arizona D'Backs,3,St. Louis Cardinals,5
Toronto Blue Jays,1,Texas Rangers,5
New York Mets,3,Washington Nationals,2
Oakland Athletics,1,Los Angeles Angels,6
Tampa Bay Rays,7,Boston Red Sox,8
Detroit Tigers,1,Chicago White Sox,0
Kansas City Royals,1,Cleveland Indians,3
Atlanta Braves,4,Colorado Rockies,0
San Diego Padres,1,Houston Astros,4
Chicago Cubs,3,Milwaukee Brewers,0
Baltimore Orioles,8,New York Yankees,7
Miami Marlins,6,Philadelphia Phillies,3
Cincinnati Reds,0,Pittsburgh Pirates,5
Los Angeles Dodgers,2,San Francisco Giants,1
Arizona D'Backs,4,St. Louis Cardinals,1
Toronto Blue Jays,7,Texas Rangers,4
New York Mets,6,Washington Nationals,5
Toronto Blue Jays,7,Baltimore Orioles,1
Tampa Bay Rays,5,Chicago White Sox,4
Detroit Tigers,0,Cleveland Indians,2
San Diego Padres,7,Colorado Rockies,6
Seattle Mariners,0,Kansas City Royals,10
New York Mets,4,Miami Marlins,2
Houston Astros,2,Minnesota Twins,0
Cincinnati Reds,5,Philadelphia Phillies,6
Arizona D'Backs,2,San Francisco Giants,1
Milwaukee Brewers,5,St. Louis Cardinals,4
Los Angeles Angels,8,Texas Rangers,3
Atlanta Braves,0,Washington Nationals,2
Toronto Blue Jays,2,Baltimore Orioles,1
New York Yankees,1,Boston Red Sox,14
Tampa Bay Rays,6,Chicago White Sox,5
Pittsburgh Pirates,8,Chicago Cubs,5
Detroit Tigers,1,Cleveland Indians,2
San Diego Padres,5,Colorado Rockies,2
Seattle Mariners,8,Kansas City Royals,3
Oakland Athletics,0,Los Angeles Dodgers,4
New York Mets,8,Miami Marlins,6
Houston Astros,1,Minnesota Twins,4
Cincinnati Reds,1,Philadelphia Phillies,6
Arizona D'Backs,4,San Francisco Giants,5
Milwaukee Brewers,3,St. Louis Cardinals,5
Los Angeles Angels,11,Texas Rangers,1
Atlanta Braves,1,Washington Nationals,4
Toronto Blue Jays,3,Baltimore Orioles,5
New York Yankees,10,Boston Red Sox,7
Tampa Bay Rays,1,Chicago White Sox,2
Pittsburgh Pirates,5,Chicago Cubs,13
Detroit Tigers,1,Cleveland Indians,5
San Diego Padres,4,Colorado Rockies,6
Seattle Mariners,4,Kansas City Royals,2
Oakland Athletics,16,Los Angeles Dodgers,6
New York Mets,4,Miami Marlins,1
Houston Astros,8,Minnesota Twins,9
Cincinnati Reds,3,Philadelphia Phillies,4
Arizona D'Backs,7,San Francisco Giants,3
Milwaukee Brewers,3,St. Louis Cardinals,2
Los Angeles Angels,7,Texas Rangers,2
Atlanta Braves,5,Washington Nationals,3
New York Yankees,3,Boston Red Sox,6
Pittsburgh Pirates,6,Chicago Cubs,1
St. Louis Cardinals,13,Cincinnati Reds,4
Detroit Tigers,3,Cleveland Indians,9
Los Angeles Angels,7,Kansas City Royals,1
Chicago White Sox,0,Minnesota Twins,4
San Francisco Giants,7,San Diego Padres,0
Colorado Rockies,5,Washington Nationals,1
Baltimore Orioles,3,Boston Red Sox,7
Atlanta Braves,4,Chicago Cubs,0
St. Louis Cardinals,5,Cincinnati Reds,3
Toronto Blue Jays,8,Cleveland Indians,4
New York Yankees,8,Detroit Tigers,6
Texas Rangers,2,Houston Astros,3
Los Angeles Angels,5,Kansas City Royals,4
Arizona D'Backs,8,Los Angeles Dodgers,7
Pittsburgh Pirates,2,Miami Marlins,7
Milwaukee Brewers,5,New York Mets,6
San Francisco Giants,1,San Diego Padres,5
Oakland Athletics,4,Seattle Mariners,7
Philadelphia Phillies,2,Tampa Bay Rays,1
Colorado Rockies,2,Washington Nationals,1
Baltimore Orioles,3,Boston Red Sox,10
Atlanta Braves,10,Chicago Cubs,14
St. Louis Cardinals,6,Cincinnati Reds,1
Texas Rangers,6,Houston Astros,5
Los Angeles Angels,5,Kansas City Royals,3
Arizona D'Backs,9,Los Angeles Dodgers,1
Pittsburgh Pirates,1,Miami Marlins,0
Milwaukee Brewers,5,New York Mets,1
San Francisco Giants,4,San Diego Padres,5
Oakland Athletics,8,Seattle Mariners,10
Philadelphia Phillies,9,Tampa Bay Rays,4
Colorado Rockies,2,Washington Nationals,6
Baltimore Orioles,1,Boston Red Sox,3
St. Louis Cardinals,3,Cincinnati Reds,2
Texas Rangers,3,Houston Astros,1
Arizona D'Backs,2,Los Angeles Dodgers,7
Pittsburgh Pirates,7,Miami Marlins,3
Milwaukee Brewers,2,New York Mets,3
San Francisco Giants,1,San Diego Padres,10
Oakland Athletics,2,Seattle Mariners,1
Philadelphia Phillies,10,Tampa Bay Rays,4
Colorado Rockies,6,Washington Nationals,5
Philadelphia Phillies,1,Atlanta Braves,2
Cincinnati Reds,10,Milwaukee Brewers,4
Miami Marlins,1,New York Yankees,12
Washington Nationals,8,New York Mets,6
Chicago White Sox,1,Oakland Athletics,8
Colorado Rockies,6,Pittsburgh Pirates,2
Los Angeles Dodgers,10,San Diego Padres,3
Houston Astros,1,Seattle Mariners,2
Texas Rangers,4,Tampa Bay Rays,8
Boston Red Sox,10,Los Angeles Angels,1
San Francisco Giants,0,Arizona D'Backs,1
Philadelphia Phillies,5,Atlanta Braves,1
St. Louis Cardinals,5,Chicago Cubs,3
Baltimore Orioles,2,Detroit Tigers,4
Cincinnati Reds,0,Milwaukee Brewers,2
Cleveland Indians,6,Minnesota Twins,1
Miami Marlins,9,New York Yankees,1
Washington Nationals,5,New York Mets,2
