Seattle Mariners,9,Oakland Athletics,7
Seattle Mariners,5,Oakland Athletics,4
Pittsburgh Pirates,3,Cincinnati Reds,5
Chicago White Sox,3,Kansas City Royals,5
Arizona D'Backs,5,Los Angeles Dodgers,12
Colorado Rockies,6,Miami Marlins,3
St. Louis Cardinals,4,Milwaukee Brewers,5
Cleveland Indians,0,Minnesota Twins,2
Baltimore Orioles,2,New York Yankees,7
Los Angeles Angels,0,Oakland Athletics,4
Atlanta Braves,4,Philadelphia Phillies,10
San Francisco Giants,0,San Diego Padres,2
Boston Red Sox,4,Seattle Mariners,12
Houston Astros,5,Tampa Bay Rays,1
Chicago Cubs,12,Texas Rangers,4
Detroit Tigers,2,Toronto Blue Jays,0
New York Mets,2,Washington Nationals,0
Arizona D'Backs,5,Los Angeles Dodgers,4
Colorado Rockies,6,Miami Marlins,1
St. Louis Cardinals,9,Milwaukee Brewers,5
Los Angeles Angels,6,Oakland Athletics,2
San Francisco Giants,1,San Diego Padres,4
Boston Red Sox,7,Seattle Mariners,6
Houston Astros,2,Tampa Bay Rays,4
Detroit Tigers,0,Toronto Blue Jays,6
Chicago White Sox,6,Kansas City Royals,8
Arizona D'Backs,5,Los Angeles Dodgers,18
Colorado Rockies,3,Miami Marlins,7
St. Louis Cardinals,2,Milwaukee Brewers,4
Cleveland Indians,2,Minnesota Twins,1
Baltimore Orioles,5,New York Yankees,3
Los Angeles Angels,2,Oakland Athletics,4
Atlanta Braves,6,Philadelphia Phillies,8
San Francisco Giants,3,San Diego Padres,2
Boston Red Sox,5,Seattle Mariners,6
Houston Astros,1,Tampa Bay Rays,3
Chicago Cubs,6,Texas Rangers,8
Detroit Tigers,0,Toronto Blue Jays,3
New York Mets,11,Washington Nationals,8
Pittsburgh Pirates,5,Cincinnati Reds,0
Chicago White Sox,6,Kansas City Royals,3
Arizona D'Backs,7,Los Angeles Dodgers,8
Colorado Rockies,0,Miami Marlins,3
St. Louis Cardinals,4,Milwaukee Brewers,5
Cleveland Indians,3,Minnesota Twins,9
Baltimore Orioles,7,New York Yankees,5
Los Angeles Angels,1,Oakland Athletics,2
Atlanta Braves,1,Philadelphia Phillies,5
San Francisco Giants,1,San Diego Padres,3
Boston Red Sox,8,Seattle Mariners,10
Houston Astros,1,Tampa Bay Rays,3
Chicago Cubs,10,Texas Rangers,11
Detroit Tigers,4,Toronto Blue Jays,3
New York Mets,5,Washington Nationals,6
Chicago Cubs,0,Atlanta Braves,8
Milwaukee Brewers,4,Cincinnati Reds,3
Chicago White Sox,3,Cleveland Indians,5
San Francisco Giants,4,Los Angeles Dodgers,2
New York Mets,7,Miami Marlins,3
Detroit Tigers,1,New York Yankees,3
Boston Red Sox,0,Oakland Athletics,7
St. Louis Cardinals,6,Pittsburgh Pirates,5
