Away Team,Away Score,Home Team,Home Score
St. Louis Cardinals,4,Cincinnati Reds,2
Toronto Blue Jays,4,Houston Astros,3
Chicago White Sox,1,Minnesota Twins,2
Cleveland Guardians,1,New York Yankees,4
Texas Rangers,8,Oakland Athletics,1
Milwaukee Brewers,2,Philadelphia Phillies,4
Los Angeles Dodgers,6,San Diego Padres,1
Kansas City Royals,1,Seattle Mariners,4
Boston Red Sox,4,Tampa Bay Rays,3
San Francisco Giants,7,Washington Nationals,1
Baltimore Orioles,5,Los Angeles Angels,4
New York Mets,2,Arizona D'Backs,5
Miami Marlins,9,Atlanta Braves,7
Pittsburgh Pirates,0,Chicago Cubs,21
St. Louis Cardinals,5,Cincinnati Reds,0
Colorado Rockies,0,Detroit Tigers,13
Colorado Rockies,3,Detroit Tigers,2
Toronto Blue Jays,3,Houston Astros,2
Chicago White Sox,2,Minnesota Twins,9
Cleveland Guardians,4,New York Yankees,5
Texas Rangers,2,Oakland Athletics,0
Milwaukee Brewers,5,Philadelphia Phillies,3
Los Angeles Dodgers,2,San Diego Padres,3
Kansas City Royals,7,Seattle Mariners,13
Boston Red Sox,2,Tampa Bay Rays,3
San Francisco Giants,5,Washington Nationals,2
Baltimore Orioles,6,Los Angeles Angels,7
New York Mets,6,Arizona D'Backs,2
Miami Marlins,5,Atlanta Braves,4
Pittsburgh Pirates,4,Chicago Cubs,3
St. Louis Cardinals,1,Cincinnati Reds,4
Colorado Rockies,6,Detroit Tigers,2
Toronto Blue Jays,7,Houston Astros,8
Chicago White Sox,4,Minnesota Twins,6
Cleveland Guardians,2,New York Yankees,10
Texas Rangers,0,Oakland Athletics,2
Milwaukee Brewers,1,Philadelphia Phillies,0
Los Angeles Dodgers,10,San Diego Padres,2
Kansas City Royals,4,Seattle Mariners,5
Boston Red Sox,2,Tampa Bay Rays,5
San Francisco Giants,12,Washington Nationals,3
Cleveland Guardians,0,Los Angeles Angels,3
Los Angeles Dodgers,4,Arizona D'Backs,0
San Francisco Giants,4,Milwaukee Brewers,2
Colorado Rockies,2,Philadelphia Phillies,8
New York Mets,5,St. Louis Cardinals,2
Houston Astros,2,Texas Rangers,6
Boston Red Sox,2,Toronto Blue Jays,6
Cleveland Guardians,1,Los Angeles Angels,4
Los Angeles Dodgers,3,Arizona D'Backs,5
Chicago Cubs,1,Atlanta Braves,3
Kansas City Royals,6,Chicago White Sox,0
San Diego Padres,9,Cincinnati Reds,6
Detroit Tigers,4,Minnesota Twins,5
Baltimore Orioles,8,New York Yankees,12
Colorado Rockies,3,Philadelphia Phillies,10
Milwaukee Brewers,12,Pittsburgh Pirates,8
Oakland Athletics,2,San Francisco Giants,8
New York Mets,3,St. Louis Cardinals,0
Seattle Mariners,8,Tampa Bay Rays,4
Houston Astros,5,Texas Rangers,1
Boston Red Sox,5,Toronto Blue Jays,6
Miami Marlins,5,Washington Nationals,2
Cleveland Guardians,5,Los Angeles Angels,9
Los Angeles Dodgers,1,Arizona D'Backs,3
Chicago Cubs,6,Atlanta Braves,3
Kansas City Royals,3,Chicago White Sox,7
San Diego Padres,8,Cincinnati Reds,5
Detroit Tigers,0,Minnesota Twins,5
Baltimore Orioles,2,New York Yankees,5
Colorado Rockies,3,Philadelphia Phillies,7
Milwaukee Brewers,3,Pittsburgh Pirates,1
Oakland Athletics,1,San Francisco Giants,0
New York Mets,5,St. Louis Cardinals,10
Seattle Mariners,2,Tampa Bay Rays,3
Houston Astros,4,Texas Rangers,3
Boston Red Sox,7,Toronto Blue Jays,1
Miami Marlins,2,Washington Nationals,1
Cleveland Guardians,1,Los Angeles Angels,4
Chicago Cubs,1,Atlanta Braves,5
Kansas City Royals,5,Chicago White Sox,2
San Diego Padres,7,Cincinnati Reds,5
Detroit Tigers,1,Minnesota Twins,7
Baltimore Orioles,5,New York Yankees,10
Colorado Rockies,1,Philadelphia Phillies,7
Milwaukee Brewers,3,Pittsburgh Pirates,2
Arizona D'Backs,3,St. Louis Cardinals,8
Seattle Mariners,1,Tampa Bay Rays,2
Houston Astros,3,Texas Rangers,2
Boston Red Sox,0,Toronto Blue Jays,1
Miami Marlins,3,Washington Nationals,2
Boston Red Sox,3,Baltimore Orioles,1
Los Angeles Angels,5,Chicago White Sox,1
Cincinnati Reds,4,Colorado Rockies,10
New York Yankees,12,Kansas City Royals,2
Detroit Tigers,1,Los Angeles Dodgers,5
Seattle Mariners,6,Miami Marlins,8
Chicago Cubs,1,Milwaukee Brewers,11
Philadelphia Phillies,0,New York Mets,3
Cleveland Guardians,9,Oakland Athletics,8
San Diego Padres,7,Pittsburgh Pirates,3
Washington Nationals,14,San Francisco Giants,4
Arizona D'Backs,6,St. Louis Cardinals,2
Minnesota Twins,1,Tampa Bay Rays,6
Atlanta Braves,6,Texas Rangers,3
Houston Astros,11,Toronto Blue Jays,7
Boston Red Sox,1,Baltimore Orioles,2
Los Angeles Angels,0,Chicago White Sox,4
Cincinnati Reds,3,Colorado Rockies,4
New York Yankees,3,Kansas City Royals,0
Detroit Tigers,5,Los Angeles Dodgers,1
Seattle Mariners,1,Miami Marlins,3
Chicago Cubs,1,Milwaukee Brewers,9
Philadelphia Phillies,4,New York Mets,1
Cleveland Guardians,3,Oakland Athletics,1
San Diego Padres,6,Pittsburgh Pirates,7
Washington Nationals,3,San Francisco Giants,9
Arizona D'Backs,2,St. Louis Cardinals,0
Minnesota Twins,9,Tampa Bay Rays,1
Atlanta Braves,1,Texas Rangers,3
Houston Astros,1,Toronto Blue Jays,2
Boston Red Sox,5,Baltimore Orioles,9
Los Angeles Angels,6,Chicago White Sox,5
Cincinnati Reds,1,Colorado Rockies,10
New York Yankees,6,Kansas City Royals,4
Detroit Tigers,3,Los Angeles Dodgers,6
Seattle Mariners,7,Miami Marlins,3
Chicago Cubs,2,Milwaukee Brewers,0
Philadelphia Phillies,6,New York Mets,10
Cleveland Guardians,7,Oakland Athletics,3
San Diego Padres,5,Pittsburgh Pirates,2
Washington Nationals,11,San Francisco Giants,5
Arizona D'Backs,5,St. Louis Cardinals,7
Minnesota Twins,9,Tampa Bay Rays,3
Atlanta Braves,3,Texas Rangers,7
Houston Astros,2,Toronto Blue Jays,3
Minnesota Twins,2,Baltimore Orioles,1
Los Angeles Angels,0,Chicago White Sox,3
Seattle Mariners,0,Houston Astros,3
Arizona D'Backs,5,Miami Marlins,4
Atlanta Braves,5,New York Mets,2
Tampa Bay Rays,6,Oakland Athletics,1
Kansas City Royals,0,St. Louis Cardinals,1
New York Yankees,3,Toronto Blue Jays,2
Minnesota Twins,7,Baltimore Orioles,2
Los Angeles Angels,0,Boston Red Sox,4
Chicago White Sox,3,Chicago Cubs,1
Washington Nationals,10,Colorado Rockies,2
Seattle Mariners,0,Houston Astros,4
St. Louis Cardinals,1,Kansas City Royals,7
San Francisco Giants,1,Los Angeles Dodgers,3
Arizona D'Backs,5,Miami Marlins,4
Cincinnati Reds,3,Milwaukee Brewers,6
Atlanta Braves,4,New York Mets,5
Atlanta Braves,0,New York Mets,3
Tampa Bay Rays,10,Oakland Athletics,7
Texas Rangers,6,Philadelphia Phillies,4
New York Yankees,9,Toronto Blue Jays,1
Minnesota Twins,4,Baltimore Orioles,9
Los Angeles Angels,10,Boston Red Sox,5
Chicago White Sox,4,Chicago Cubs,3
San Diego Padres,5,Cleveland Guardians,4
San Diego Padres,5,Cleveland Guardians,6
Washington Nationals,2,Colorado Rockies,5
Pittsburgh Pirates,2,Detroit Tigers,3
Pittsburgh Pirates,7,Detroit Tigers,2
Seattle Mariners,2,Houston Astros,7
St. Louis Cardinals,10,Kansas City Royals,0
San Francisco Giants,1,Los Angeles Dodgers,9
Arizona D'Backs,8,Miami Marlins,7
Cincinnati Reds,4,Milwaukee Brewers,18
Atlanta Braves,9,New York Mets,2
Tampa Bay Rays,3,Oakland Athletics,0
Texas Rangers,2,Philadelphia Phillies,1
New York Yankees,1,Toronto Blue Jays,2
Minnesota Twins,3,Baltimore Orioles,5
Los Angeles Angels,8,Boston Red Sox,0
Toronto Blue Jays,5,Cleveland Guardians,6
Washington Nationals,7,Colorado Rockies,9
Detroit Tigers,2,Houston Astros,3
Cincinnati Reds,5,Milwaukee Brewers,10
New York Mets,8,Philadelphia Phillies,7
Miami Marlins,1,San Diego Padres,2
Tampa Bay Rays,4,Seattle Mariners,3
St. Louis Cardinals,7,San Francisco Giants,1
Washington Nationals,0,Los Angeles Angels,3
Colorado Rockies,1,Arizona D'Backs,4
Milwaukee Brewers,6,Atlanta Braves,3
Chicago White Sox,4,Boston Red Sox,2
Detroit Tigers,2,Houston Astros,3
Oakland Athletics,1,Minnesota Twins,2
Miami Marlins,2,San Diego Padres,3
Tampa Bay Rays,8,Seattle Mariners,7
St. Louis Cardinals,3,San Francisco Giants,2
Washington Nationals,7,Los Angeles Angels,3
Colorado Rockies,4,Arizona D'Backs,1
Milwaukee Brewers,2,Atlanta Braves,3
Chicago White Sox,3,Boston Red Sox,1
Los Angeles Dodgers,7,Chicago Cubs,0
Los Angeles Dodgers,6,Chicago Cubs,2
Pittsburgh Pirates,2,Cincinnati Reds,9
Pittsburgh Pirates,8,Cincinnati Reds,5
Toronto Blue Jays,8,Cleveland Guardians,3
Toronto Blue Jays,2,Cleveland Guardians,8
Detroit Tigers,2,Houston Astros,3
Oakland Athletics,0,Minnesota Twins,1
Miami Marlins,8,San Diego Padres,0
Tampa Bay Rays,8,Seattle Mariners,2
St. Louis Cardinals,7,San Francisco Giants,13
Washington Nationals,4,Los Angeles Angels,5
Colorado Rockies,0,Arizona D'Backs,4
Milwaukee Brewers,2,Atlanta Braves,9
Kansas City Royals,6,Baltimore Orioles,4
Kansas City Royals,2,Baltimore Orioles,4
Chicago White Sox,3,Boston Red Sox,2
Los Angeles Dodgers,7,Chicago Cubs,1
Pittsburgh Pirates,3,Cincinnati Reds,7
Toronto Blue Jays,3,Cleveland Guardians,4
Detroit Tigers,0,Houston Astros,5
Oakland Athletics,3,Minnesota Twins,4
Texas Rangers,1,New York Yankees,2
Texas Rangers,4,New York Yankees,2
New York Mets,2,Philadelphia Phillies,3
New York Mets,6,Philadelphia Phillies,1
Miami Marlins,2,San Diego Padres,3
Tampa Bay Rays,1,Seattle Mariners,2
St. Louis Cardinals,3,San Francisco Giants,4
Tampa Bay Rays,3,Los Angeles Angels,11
Miami Marlins,3,Arizona D'Backs,4
Kansas City Royals,1,Baltimore Orioles,6
Cleveland Guardians,12,Chicago White Sox,9
Milwaukee Brewers,5,Cincinnati Reds,10
Oakland Athletics,2,Detroit Tigers,0
Texas Rangers,0,New York Yankees,1
Los Angeles Dodgers,1,Pittsburgh Pirates,5
Chicago Cubs,6,San Diego Padres,0
Philadelphia Phillies,9,Seattle Mariners,0
Colorado Rockies,5,San Francisco Giants,8
Tampa Bay Rays,0,Los Angeles Angels,12
Miami Marlins,3,Arizona D'Backs,9
Boston Red Sox,9,Atlanta Braves,4
Cleveland Guardians,1,Chicago White Sox,4
Milwaukee Brewers,5,Cincinnati Reds,4
Oakland Athletics,0,Detroit Tigers,6
Oakland Athletics,4,Detroit Tigers,1
Houston Astros,5,Minnesota Twins,0
Toronto Blue Jays,5,New York Yankees,6
Los Angeles Dodgers,11,Pittsburgh Pirates,1
Chicago Cubs,4,San Diego Padres,5
Philadelphia Phillies,4,Seattle Mariners,5
Colorado Rockies,2,San Francisco Giants,9
Baltimore Orioles,5,St. Louis Cardinals,3
Kansas City Royals,4,Texas Rangers,6
New York Mets,4,Washington Nationals,2
Tampa Bay Rays,4,Los Angeles Angels,2
Miami Marlins,11,Arizona D'Backs,3
Boston Red Sox,3,Atlanta Braves,5
Milwaukee Brewers,11,Cincinnati Reds,14
Oakland Athletics,9,Detroit Tigers,0
Houston Astros,11,Minnesota Twins,3
Toronto Blue Jays,3,New York Yankees,5
Los Angeles Dodgers,3,Pittsburgh Pirates,5
Chicago Cubs,7,San Diego Padres,5
Philadelphia Phillies,4,Seattle Mariners,2
Colorado Rockies,1,San Francisco Giants,7
Baltimore Orioles,1,St. Louis Cardinals,10
Kansas City Royals,8,Texas Rangers,2
New York Mets,3,Washington Nationals,8
New York Yankees,15,Chicago White Sox,7
Oakland Athletics,5,Detroit Tigers,3
Philadelphia Phillies,9,Los Angeles Dodgers,7
Houston Astros,5,Minnesota Twins,0
Cincinnati Reds,4,Pittsburgh Pirates,0
Baltimore Orioles,3,St. Louis Cardinals,2
Kansas City Royals,1,Texas Rangers,3
New York Mets,4,Washington Nationals,1
Chicago Cubs,3,Arizona D'Backs,4
San Diego Padres,11,Atlanta Braves,6
New York Yankees,10,Chicago White Sox,4
Kansas City Royals,14,Colorado Rockies,10
Baltimore Orioles,2,Detroit Tigers,4
Philadelphia Phillies,12,Los Angeles Dodgers,10
Milwaukee Brewers,2,Miami Marlins,1
Cleveland Guardians,8,Minnesota Twins,12
Seattle Mariners,2,New York Mets,1
Los Angeles Angels,2,Oakland Athletics,0
Cincinnati Reds,8,Pittsburgh Pirates,2
San Francisco Giants,8,St. Louis Cardinals,2
Toronto Blue Jays,2,Tampa Bay Rays,5
Boston Red Sox,7,Texas Rangers,1
Houston Astros,6,Washington Nationals,1
Chicago Cubs,4,Arizona D'Backs,2
San Diego Padres,5,Atlanta Braves,6
New York Yankees,2,Chicago White Sox,3
Kansas City Royals,4,Colorado Rockies,10
Baltimore Orioles,0,Detroit Tigers,3
Philadelphia Phillies,8,Los Angeles Dodgers,3
Milwaukee Brewers,3,Miami Marlins,9
Cleveland Guardians,3,Minnesota Twins,2
Seattle Mariners,4,New York Mets,5
Los Angeles Angels,3,Oakland Athletics,4
Los Angeles Angels,9,Oakland Athletics,1
Cincinnati Reds,1,Pittsburgh Pirates,3
San Francisco Giants,0,St. Louis Cardinals,4
Toronto Blue Jays,5,Tampa Bay Rays,1
Boston Red Sox,11,Texas Rangers,3
Houston Astros,6,Washington Nationals,13
Chicago Cubs,3,Arizona D'Backs,2
San Diego Padres,7,Atlanta Braves,3
New York Yankees,5,Chicago White Sox,1
Kansas City Royals,8,Colorado Rockies,7
Baltimore Orioles,1,Detroit Tigers,5
Philadelphia Phillies,4,Los Angeles Dodgers,5
Milwaukee Brewers,7,Miami Marlins,3
Cleveland Guardians,1,Minnesota Twins,3
Seattle Mariners,8,New York Mets,7
Los Angeles Angels,4,Oakland Athletics,1
Cincinnati Reds,0,Pittsburgh Pirates,1
San Francisco Giants,6,St. Louis Cardinals,15
Toronto Blue Jays,0,Tampa Bay Rays,3
Boston Red Sox,1,Texas Rangers,7
Houston Astros,8,Washington Nationals,0
New York Yankees,6,Baltimore Orioles,2
Houston Astros,3,Boston Red Sox,6
Pittsburgh Pirates,0,Chicago Cubs,9
San Francisco Giants,7,Colorado Rockies,6
Chicago White Sox,5,Kansas City Royals,3
Arizona D'Backs,4,Los Angeles Dodgers,5
Washington Nationals,2,Miami Marlins,8
Atlanta Braves,0,Milwaukee Brewers,1
Minnesota Twins,3,Oakland Athletics,1
Detroit Tigers,3,Tampa Bay Rays,2
Los Angeles Angels,4,Texas Rangers,7
Seattle Mariners,2,Toronto Blue Jays,6
New York Yankees,5,Baltimore Orioles,4
Houston Astros,13,Boston Red Sox,4
Pittsburgh Pirates,0,Chicago Cubs,7
Cincinnati Reds,5,Cleveland Guardians,4
San Francisco Giants,10,Colorado Rockies,7
Chicago White Sox,3,Kansas City Royals,0
Chicago White Sox,1,Kansas City Royals,2
Arizona D'Backs,6,Los Angeles Dodgers,7
Arizona D'Backs,3,Los Angeles Dodgers,12
Washington Nationals,1,Miami Marlins,5
Atlanta Braves,3,Milwaukee Brewers,0
St. Louis Cardinals,1,New York Mets,3
St. Louis Cardinals,4,New York Mets,3
Minnesota Twins,2,Oakland Athletics,5
San Diego Padres,3,Philadelphia Phillies,0
Detroit Tigers,1,Tampa Bay Rays,8
Los Angeles Angels,5,Texas Rangers,10
Seattle Mariners,0,Toronto Blue Jays,3
New York Yankees,3,Baltimore Orioles,2
Houston Astros,1,Boston Red Sox,5
Pittsburgh Pirates,3,Chicago Cubs,2
San Francisco Giants,3,Colorado Rockies,5
Chicago White Sox,2,Kansas City Royals,6
Arizona D'Backs,3,Los Angeles Dodgers,5
Washington Nationals,5,Miami Marlins,4
Atlanta Braves,6,Milwaukee Brewers,7
St. Louis Cardinals,4,New York Mets,11
Minnesota Twins,14,Oakland Athletics,4
San Diego Padres,0,Philadelphia Phillies,3
Detroit Tigers,1,Tampa Bay Rays,6
Los Angeles Angels,5,Texas Rangers,6
Seattle Mariners,5,Toronto Blue Jays,1
New York Yankees,6,Baltimore Orioles,9
Seattle Mariners,6,Boston Red Sox,12
Arizona D'Backs,3,Chicago Cubs,1
Cincinnati Reds,4,Cleveland Guardians,2
Texas Rangers,1,Houston Astros,5
Chicago White Sox,7,Kansas City Royals,4
St. Louis Cardinals,6,New York Mets,7
San Diego Padres,2,Philadelphia Phillies,0
Oakland Athletics,4,Los Angeles Angels,2
Tampa Bay Rays,6,Baltimore Orioles,8
Seattle Mariners,3,Boston Red Sox,7
Arizona D'Backs,10,Chicago Cubs,6
Detroit Tigers,1,Cleveland Guardians,6
Texas Rangers,3,Houston Astros,0
Minnesota Twins,6,Kansas City Royals,4
Atlanta Braves,5,Miami Marlins,3
Washington Nationals,0,Milwaukee Brewers,7
Los Angeles Dodgers,4,Philadelphia Phillies,1
St. Louis Cardinals,5,Pittsburgh Pirates,3
San Diego Padres,8,San Francisco Giants,7
Cincinnati Reds,1,Toronto Blue Jays,2
Oakland Athletics,3,Los Angeles Angels,5
Tampa Bay Rays,6,Baltimore Orioles,1
Seattle Mariners,5,Boston Red Sox,6
Arizona D'Backs,7,Chicago Cubs,6
New York Mets,5,Colorado Rockies,1
New York Mets,3,Colorado Rockies,11
Texas Rangers,1,Houston Astros,2
Minnesota Twins,9,Kansas City Royals,2
Atlanta Braves,4,Miami Marlins,3
Washington Nationals,1,Milwaukee Brewers,5
Chicago White Sox,5,New York Yankees,7
Los Angeles Dodgers,7,Philadelphia Phillies,4
St. Louis Cardinals,5,Pittsburgh Pirates,4
San Diego Padres,2,San Francisco Giants,1
Cincinnati Reds,1,Toronto Blue Jays,3
Oakland Athletics,1,Los Angeles Angels,4
Tampa Bay Rays,6,Baltimore Orioles,7
Seattle Mariners,4,Boston Red Sox,8
Arizona D'Backs,4,Chicago Cubs,5
Detroit Tigers,4,Cleveland Guardians,2
New York Mets,2,Colorado Rockies,0
Texas Rangers,2,Houston Astros,5
Minnesota Twins,7,Kansas City Royals,6
Atlanta Braves,3,Miami Marlins,4
Washington Nationals,8,Milwaukee Brewers,2
Chicago White Sox,3,New York Yankees,1
Chicago White Sox,5,New York Yankees,0
Los Angeles Dodgers,3,Philadelphia Phillies,4
St. Louis Cardinals,18,Pittsburgh Pirates,4
San Diego Padres,10,San Francisco Giants,1
Cincinnati Reds,3,Toronto Blue Jays,2
Kansas City Royals,5,Arizona D'Backs,9
Philadelphia Phillies,7,Atlanta Braves,3
