Away Team,Away Score,Home Team,Home Score
Houston Astros,3,Los Angeles Angels,1
San Diego Padres,2,Arizona D'Backs,4
Cincinnati Reds,6,Atlanta Braves,3
Milwaukee Brewers,4,Chicago Cubs,5
Cleveland Guardians,1,Kansas City Royals,3
Pittsburgh Pirates,0,St. Louis Cardinals,9
New York Mets,5,Washington Nationals,1
Houston Astros,13,Los Angeles Angels,6
San Diego Padres,3,Arizona D'Backs,0
Cincinnati Reds,6,Atlanta Braves,7
Los Angeles Dodgers,5,Colorado Rockies,3
Chicago White Sox,4,Detroit Tigers,5
Seattle Mariners,2,Minnesota Twins,1
Boston Red Sox,5,New York Yankees,6
Oakland Athletics,5,Philadelphia Phillies,9
Miami Marlins,5,San Francisco Giants,6
Baltimore Orioles,1,Tampa Bay Rays,2
Texas Rangers,8,Toronto Blue Jays,10
New York Mets,7,Washington Nationals,3
Houston Astros,0,Los Angeles Angels,2
San Diego Padres,5,Arizona D'Backs,2
Cincinnati Reds,1,Atlanta Braves,2
Milwaukee Brewers,0,Chicago Cubs,9
Los Angeles Dodgers,2,Colorado Rockies,3
Chicago White Sox,5,Detroit Tigers,2
Cleveland Guardians,0,Kansas City Royals,1
Seattle Mariners,4,Minnesota Twins,3
Boston Red Sox,2,New York Yankees,4
Oakland Athletics,2,Philadelphia Phillies,4
Miami Marlins,2,San Francisco Giants,1
Pittsburgh Pirates,2,St. Louis Cardinals,6
Baltimore Orioles,3,Tampa Bay Rays,5
Texas Rangers,3,Toronto Blue Jays,4
New York Mets,5,Washington Nationals,0
Houston Astros,4,Los Angeles Angels,1
San Diego Padres,10,Arizona D'Backs,5
Cincinnati Reds,6,Atlanta Braves,3
Milwaukee Brewers,5,Chicago Cubs,4
Los Angeles Dodgers,4,Colorado Rockies,9
Chicago White Sox,10,Detroit Tigers,1
Cleveland Guardians,17,Kansas City Royals,3
Seattle Mariners,4,Minnesota Twins,10
Boston Red Sox,4,New York Yankees,3
Oakland Athletics,4,Philadelphia Phillies,1
Miami Marlins,2,San Francisco Giants,3
Pittsburgh Pirates,9,St. Louis Cardinals,4
Baltimore Orioles,0,Tampa Bay Rays,8
Texas Rangers,12,Toronto Blue Jays,6
New York Mets,2,Washington Nationals,4
Miami Marlins,2,Los Angeles Angels,6
Washington Nationals,11,Atlanta Braves,2
Milwaukee Brewers,0,Baltimore Orioles,2
Boston Red Sox,1,Detroit Tigers,3
Cleveland Guardians,10,Kansas City Royals,7
Seattle Mariners,0,Minnesota Twins,4
Toronto Blue Jays,3,New York Yankees,0
New York Mets,4,Philadelphia Phillies,5
San Diego Padres,4,San Francisco Giants,2
Oakland Athletics,13,Tampa Bay Rays,2
Colorado Rockies,6,Texas Rangers,4
Miami Marlins,3,Los Angeles Angels,4
Houston Astros,2,Arizona D'Backs,1
Washington Nationals,4,Atlanta Braves,16
Milwaukee Brewers,5,Baltimore Orioles,4
Seattle Mariners,2,Chicago White Sox,3
Cleveland Guardians,10,Cincinnati Reds,5
Boston Red Sox,5,Detroit Tigers,3
Los Angeles Dodgers,7,Minnesota Twins,2
Toronto Blue Jays,0,New York Yankees,4
New York Mets,2,Philadelphia Phillies,0
Chicago Cubs,2,Pittsburgh Pirates,1
San Diego Padres,2,San Francisco Giants,13
Kansas City Royals,5,St. Louis Cardinals,6
Oakland Athletics,8,Tampa Bay Rays,9
Colorado Rockies,4,Texas Rangers,1
Houston Astros,2,Arizona D'Backs,3
Washington Nationals,3,Atlanta Braves,1
Milwaukee Brewers,4,Baltimore Orioles,2
Seattle Mariners,4,Chicago White Sox,6
Cleveland Guardians,7,Cincinnati Reds,3
Boston Red Sox,9,Detroit Tigers,7
Los Angeles Dodgers,7,Minnesota Twins,0
Toronto Blue Jays,6,New York Yankees,4
New York Mets,9,Philadelphia Phillies,6
Chicago Cubs,2,Pittsburgh Pirates,6
San Diego Padres,1,San Francisco Giants,2
Oakland Athletics,4,Tampa Bay Rays,2
Seattle Mariners,5,Chicago White Sox,1
Chicago Cubs,5,Colorado Rockies,2
Detroit Tigers,4,Kansas City Royals,2
Cincinnati Reds,3,Los Angeles Dodgers,9
Philadelphia Phillies,3,Miami Marlins,4
St. Louis Cardinals,1,Milwaukee Brewers,5
Toronto Blue Jays,0,New York Yankees,3
Washington Nationals,4,Pittsburgh Pirates,9
Atlanta Braves,1,San Diego Padres,12
Oakland Athletics,6,Tampa Bay Rays,3
Los Angeles Angels,5,Texas Rangers,10
New York Yankees,1,Baltimore Orioles,2
Minnesota Twins,8,Boston Red Sox,4
Tampa Bay Rays,2,Chicago White Sox,3
San Francisco Giants,4,Cleveland Guardians,1
Chicago Cubs,5,Colorado Rockies,6
Detroit Tigers,2,Kansas City Royals,1
Cincinnati Reds,1,Los Angeles Dodgers,3
Philadelphia Phillies,1,Miami Marlins,7
St. Louis Cardinals,10,Milwaukee Brewers,1
Arizona D'Backs,3,New York Mets,10
Washington Nationals,7,Pittsburgh Pirates,2
Atlanta Braves,5,San Diego Padres,2
Houston Astros,1,Seattle Mariners,11
Los Angeles Angels,9,Texas Rangers,6
Oakland Athletics,1,Toronto Blue Jays,4
New York Yankees,5,Baltimore Orioles,2
Minnesota Twins,0,Boston Red Sox,4
Tampa Bay Rays,2,Chicago White Sox,3
San Francisco Giants,4,Cleveland Guardians,2
Chicago Cubs,6,Colorado Rockies,9
Detroit Tigers,1,Kansas City Royals,3
Cincinnati Reds,2,Los Angeles Dodgers,5
Philadelphia Phillies,10,Miami Marlins,3
St. Louis Cardinals,2,Milwaukee Brewers,1
Arizona D'Backs,3,New York Mets,2
Washington Nationals,4,Pittsburgh Pirates,6
Atlanta Braves,5,San Diego Padres,2
Houston Astros,4,Seattle Mariners,0
Los Angeles Angels,7,Texas Rangers,2
Oakland Athletics,7,Toronto Blue Jays,5
New York Yankees,0,Baltimore Orioles,5
Minnesota Twins,1,Boston Red Sox,8
Tampa Bay Rays,9,Chicago White Sox,3
San Francisco Giants,8,Cleveland Guardians,1
Chicago Cubs,6,Colorado Rockies,4
Cincinnati Reds,1,Los Angeles Dodgers,9
Philadelphia Phillies,3,Miami Marlins,11
St. Louis Cardinals,5,Milwaukee Brewers,6
Arizona D'Backs,0,New York Mets,5
Washington Nationals,3,Pittsburgh Pirates,5
Atlanta Braves,1,San Diego Padres,2
Houston Astros,2,Seattle Mariners,7
Los Angeles Angels,8,Texas Rangers,3
Oakland Athletics,3,Toronto Blue Jays,4
Minnesota Twins,8,Boston Red Sox,3
Tampa Bay Rays,2,Chicago Cubs,4
Philadelphia Phillies,1,Colorado Rockies,4
Los Angeles Angels,3,Houston Astros,8
Atlanta Braves,4,Los Angeles Dodgers,7
Pittsburgh Pirates,1,Milwaukee Brewers,6
Baltimore Orioles,1,Oakland Athletics,5
Cincinnati Reds,1,San Diego Padres,4
Toronto Blue Jays,1,Boston Red Sox,2
Tampa Bay Rays,6,Chicago Cubs,5
Philadelphia Phillies,5,Colorado Rockies,6
New York Yankees,4,Detroit Tigers,2
Los Angeles Angels,7,Houston Astros,2
Minnesota Twins,3,Kansas City Royals,4
Atlanta Braves,3,Los Angeles Dodgers,1
St. Louis Cardinals,5,Miami Marlins,1
Pittsburgh Pirates,2,Milwaukee Brewers,5
San Francisco Giants,4,New York Mets,5
San Francisco Giants,1,New York Mets,3
Baltimore Orioles,1,Oakland Athletics,2
Cincinnati Reds,2,San Diego Padres,6
Texas Rangers,2,Seattle Mariners,6
Arizona D'Backs,1,Washington Nationals,6
Arizona D'Backs,0,Washington Nationals,1
Toronto Blue Jays,6,Boston Red Sox,1
Tampa Bay Rays,8,Chicago Cubs,2
Chicago White Sox,1,Cleveland Guardians,11
Chicago White Sox,1,Cleveland Guardians,2
Philadelphia Phillies,9,Colorado Rockies,6
New York Yankees,5,Detroit Tigers,3
Los Angeles Angels,6,Houston Astros,0
Minnesota Twins,0,Kansas City Royals,2
Atlanta Braves,1,Los Angeles Dodgers,5
St. Louis Cardinals,2,Miami Marlins,0
Pittsburgh Pirates,2,Milwaukee Brewers,4
San Francisco Giants,5,New York Mets,2
Baltimore Orioles,1,Oakland Athletics,0
Cincinnati Reds,0,San Diego Padres,6
Texas Rangers,2,Seattle Mariners,4
Arizona D'Backs,11,Washington Nationals,2
Toronto Blue Jays,3,Boston Red Sox,2
Pittsburgh Pirates,4,Chicago Cubs,3
Chicago White Sox,3,Cleveland Guardians,6
New York Yankees,0,Detroit Tigers,3
Minnesota Twins,1,Kansas City Royals,0
St. Louis Cardinals,0,Miami Marlins,5
San Francisco Giants,2,New York Mets,6
Baltimore Orioles,4,Oakland Athletics,6
Texas Rangers,8,Seattle Mariners,6
Arizona D'Backs,4,Washington Nationals,3
Baltimore Orioles,5,Los Angeles Angels,3
New York Mets,6,Arizona D'Backs,5
Miami Marlins,0,Atlanta Braves,3
Pittsburgh Pirates,4,Chicago Cubs,2
