Away Team,Away Score,Home Team,Home Score
Cleveland Indians,4,Cincinnati Reds,2
San Francisco Giants,2,Colorado Rockies,5
Chicago White Sox,3,Milwaukee Brewers,2
Pittsburgh Pirates,3,Minnesota Twins,7
Texas Rangers,1,Oakland Athletics,5
Los Angeles Dodgers,5,San Diego Padres,2
Los Angeles Angels,5,Seattle Mariners,3
Boston Red Sox,1,Tampa Bay Rays,5
New York Mets,3,Washington Nationals,5
Houston Astros,7,Arizona D'Backs,14
Toronto Blue Jays,2,Atlanta Braves,1
Miami Marlins,1,Baltimore Orioles,0
Miami Marlins,2,Baltimore Orioles,1
Milwaukee Brewers,1,Chicago White Sox,0
Cincinnati Reds,0,Cleveland Indians,2
San Francisco Giants,4,Colorado Rockies,3
Chicago Cubs,6,Kansas City Royals,1
Texas Rangers,4,Oakland Athletics,6
New York Yankees,7,Philadelphia Phillies,11
New York Yankees,3,Philadelphia Phillies,1
Minnesota Twins,5,Pittsburgh Pirates,2
Los Angeles Dodgers,7,San Diego Padres,6
Los Angeles Angels,6,Seattle Mariners,7
Boston Red Sox,5,Tampa Bay Rays,0
New York Mets,3,Washington Nationals,1
Houston Astros,4,Arizona D'Backs,5
Toronto Blue Jays,3,Atlanta Braves,4
Miami Marlins,8,Baltimore Orioles,7
Milwaukee Brewers,8,Chicago White Sox,3
Cincinnati Reds,0,Cleveland Indians,13
San Francisco Giants,4,Colorado Rockies,6
Chicago Cubs,2,Kansas City Royals,13
Texas Rangers,4,Oakland Athletics,6
New York Yankees,4,Philadelphia Phillies,5
Minnesota Twins,5,Pittsburgh Pirates,6
Los Angeles Angels,6,Seattle Mariners,1
Toronto Blue Jays,3,Boston Red Sox,5
Cleveland Indians,0,Chicago White Sox,2
Minnesota Twins,2,Kansas City Royals,3
San Francisco Giants,2,Los Angeles Dodgers,7
Cincinnati Reds,8,Milwaukee Brewers,3
Miami Marlins,4,New York Mets,3
Houston Astros,2,Oakland Athletics,3
Detroit Tigers,17,Pittsburgh Pirates,13
Arizona D'Backs,0,San Diego Padres,3
Colorado Rockies,8,Seattle Mariners,4
