Away Team,Away Score,Home Team,Home Score
Boston Red Sox,5,Philadelphia Phillies,2
Chicago White Sox,4,Pittsburgh Pirates,5
Colorado Rockies,5,San Diego Padres,14
Seattle Mariners,5,San Francisco Giants,6
Minnesota Twins,7,St. Louis Cardinals,3
Minnesota Twins,4,St. Louis Cardinals,6
Los Angeles Angels,1,Texas Rangers,7
New York Yankees,1,Toronto Blue Jays,2
Tampa Bay Rays,3,Washington Nationals,5
Los Angeles Dodgers,6,Arizona D'Backs,4
Miami Marlins,9,Atlanta Braves,29
Cincinnati Reds,3,Chicago Cubs,0
Kansas City Royals,3,Cleveland Indians,0
Milwaukee Brewers,19,Detroit Tigers,0
Baltimore Orioles,6,New York Mets,7
Houston Astros,2,Oakland Athletics,3
Chicago White Sox,8,Pittsburgh Pirates,1
Colorado Rockies,3,San Diego Padres,5
Seattle Mariners,1,San Francisco Giants,10
Los Angeles Angels,3,Texas Rangers,7
New York Yankees,7,Toronto Blue Jays,2
Los Angeles Dodgers,2,Arizona D'Backs,5
Cincinnati Reds,5,Chicago Cubs,8
Kansas City Royals,11,Cleveland Indians,1
Philadelphia Phillies,6,Miami Marlins,7
Houston Astros,1,Oakland Athletics,3
San Francisco Giants,1,San Diego Padres,6
Detroit Tigers,2,St. Louis Cardinals,12
Detroit Tigers,6,St. Louis Cardinals,3
Boston Red Sox,4,Tampa Bay Rays,3
Los Angeles Angels,6,Texas Rangers,2
Atlanta Braves,7,Washington Nationals,6
Seattle Mariners,3,Arizona D'Backs,4
Detroit Tigers,3,Chicago White Sox,4
Los Angeles Angels,4,Colorado Rockies,8
Pittsburgh Pirates,3,Kansas City Royals,4
Philadelphia Phillies,11,Miami Marlins,0
Philadelphia Phillies,3,Miami Marlins,5
Chicago Cubs,0,Milwaukee Brewers,1
Cleveland Indians,1,Minnesota Twins,3
Baltimore Orioles,0,New York Yankees,6
Baltimore Orioles,1,New York Yankees,10
Cincinnati Reds,3,St. Louis Cardinals,1
Boston Red Sox,1,Tampa Bay Rays,11
Oakland Athletics,10,Texas Rangers,6
New York Mets,18,Toronto Blue Jays,1
Atlanta Braves,7,Washington Nationals,8
Seattle Mariners,7,Arizona D'Backs,3
Detroit Tigers,0,Chicago White Sox,14
Los Angeles Angels,5,Colorado Rockies,2
Pittsburgh Pirates,4,Kansas City Royals,7
Houston Astros,7,Los Angeles Dodgers,5
Philadelphia Phillies,12,Miami Marlins,6
Chicago Cubs,4,Milwaukee Brewers,2
Cleveland Indians,4,Minnesota Twins,8
Baltimore Orioles,1,New York Yankees,2
Cincinnati Reds,1,St. Louis Cardinals,7
Boston Red Sox,4,Tampa Bay Rays,5
Oakland Athletics,2,Texas Rangers,5
Oakland Athletics,10,Texas Rangers,1
New York Mets,2,Toronto Blue Jays,3
Atlanta Braves,2,Washington Nationals,1
Seattle Mariners,7,Arizona D'Backs,3
Detroit Tigers,2,Chicago White Sox,5
Los Angeles Angels,5,Colorado Rockies,3
Pittsburgh Pirates,0,Kansas City Royals,11
Houston Astros,1,Los Angeles Dodgers,8
Philadelphia Phillies,1,Miami Marlins,2
Philadelphia Phillies,1,Miami Marlins,8
Chicago Cubs,12,Milwaukee Brewers,0
Cleveland Indians,5,Minnesota Twins,7
Baltimore Orioles,1,New York Yankees,3
San Francisco Giants,0,San Diego Padres,6
San Francisco Giants,1,San Diego Padres,3
Cincinnati Reds,10,St. Louis Cardinals,5
Boston Red Sox,6,Tampa Bay Rays,3
Oakland Athletics,3,Texas Rangers,6
New York Mets,3,Toronto Blue Jays,7
Atlanta Braves,8,Washington Nationals,4
Atlanta Braves,1,Baltimore Orioles,14
Minnesota Twins,1,Chicago White Sox,3
Pittsburgh Pirates,1,Cincinnati Reds,3
Pittsburgh Pirates,4,Cincinnati Reds,9
Philadelphia Phillies,2,Miami Marlins,6
St. Louis Cardinals,1,Milwaukee Brewers,2
St. Louis Cardinals,3,Milwaukee Brewers,2
Los Angeles Dodgers,2,San Diego Padres,7
Oakland Athletics,5,Seattle Mariners,6
Oakland Athletics,9,Seattle Mariners,0
Arizona D'Backs,9,Los Angeles Angels,8
Atlanta Braves,5,Baltimore Orioles,1
Minnesota Twins,2,Chicago White Sox,6
Cleveland Indians,5,Chicago Cubs,6
Pittsburgh Pirates,1,Cincinnati Reds,4
Oakland Athletics,1,Colorado Rockies,3
Kansas City Royals,0,Detroit Tigers,6
Texas Rangers,1,Houston Astros,4
Boston Red Sox,2,Miami Marlins,0
St. Louis Cardinals,3,Milwaukee Brewers,18
Toronto Blue Jays,6,New York Yankees,20
New York Mets,1,Philadelphia Phillies,4
Los Angeles Dodgers,3,San Diego Padres,1
Washington Nationals,1,Tampa Bay Rays,6
Arizona D'Backs,9,Los Angeles Angels,6
Atlanta Braves,1,Baltimore Orioles,5
Minnesota Twins,5,Chicago White Sox,1
Cleveland Indians,2,Chicago Cubs,3
Pittsburgh Pirates,0,Cincinnati Reds,1
Oakland Athletics,3,Colorado Rockies,1
Kansas City Royals,4,Detroit Tigers,0
Texas Rangers,1,Houston Astros,0
Boston Red Sox,4,Miami Marlins,8
St. Louis Cardinals,4,Milwaukee Brewers,2
St. Louis Cardinals,0,Milwaukee Brewers,6
Toronto Blue Jays,2,New York Yankees,13
New York Mets,5,Philadelphia Phillies,4
Los Angeles Dodgers,7,San Diego Padres,5
Seattle Mariners,3,San Francisco Giants,9
Washington Nationals,4,Tampa Bay Rays,2
Arizona D'Backs,3,Los Angeles Angels,7
Tampa Bay Rays,3,Baltimore Orioles,1
Tampa Bay Rays,10,Baltimore Orioles,6
Minnesota Twins,3,Chicago White Sox,4
Los Angeles Dodgers,9,Colorado Rockies,3
Cleveland Indians,10,Detroit Tigers,3
Texas Rangers,1,Houston Astros,2
Boston Red Sox,5,Miami Marlins,3
Toronto Blue Jays,7,New York Yankees,10
New York Mets,10,Philadelphia Phillies,6
St. Louis Cardinals,1,Pittsburgh Pirates,5
Seattle Mariners,4,San Francisco Giants,6
Texas Rangers,2,Los Angeles Angels,6
Tampa Bay Rays,2,Baltimore Orioles,1
New York Yankees,6,Boston Red Sox,5
Minnesota Twins,0,Chicago Cubs,1
Chicago White Sox,1,Cincinnati Reds,7
Los Angeles Dodgers,15,Colorado Rockies,6
Cleveland Indians,1,Detroit Tigers,0
Arizona D'Backs,6,Houston Astros,3
Washington Nationals,5,Miami Marlins,0
Washington Nationals,3,Miami Marlins,14
Kansas City Royals,5,Milwaukee Brewers,9
Atlanta Braves,15,New York Mets,2
San Francisco Giants,0,Oakland Athletics,6
Toronto Blue Jays,0,Philadelphia Phillies,7
Toronto Blue Jays,7,Philadelphia Phillies,8
St. Louis Cardinals,6,Pittsburgh Pirates,5
St. Louis Cardinals,7,Pittsburgh Pirates,2
Seattle Mariners,1,San Diego Padres,6
Texas Rangers,3,Los Angeles Angels,4
Tampa Bay Rays,3,Baltimore Orioles,1
New York Yankees,8,Boston Red Sox,0
Minnesota Twins,8,Chicago Cubs,1
Chicago White Sox,5,Cincinnati Reds,0
Los Angeles Dodgers,6,Colorado Rockies,1
Cleveland Indians,2,Detroit Tigers,5
Arizona D'Backs,2,Houston Astros,3
Washington Nationals,3,Miami Marlins,7
Kansas City Royals,0,Milwaukee Brewers,5
Atlanta Braves,2,New York Mets,7
San Francisco Giants,0,Oakland Athletics,6
Toronto Blue Jays,1,Philadelphia Phillies,3
St. Louis Cardinals,5,Pittsburgh Pirates,4
Seattle Mariners,4,San Diego Padres,1
Texas Rangers,7,Los Angeles Angels,2
Tampa Bay Rays,1,Baltimore Orioles,2
New York Yankees,2,Boston Red Sox,10
Minnesota Twins,4,Chicago Cubs,0
Chicago White Sox,3,Cincinnati Reds,7
Los Angeles Dodgers,3,Colorado Rockies,6
Cleveland Indians,7,Detroit Tigers,4
Arizona D'Backs,2,Houston Astros,3
Washington Nationals,1,Miami Marlins,2
Washington Nationals,15,Miami Marlins,0
Kansas City Royals,3,Milwaukee Brewers,5
Atlanta Braves,7,New York Mets,0
San Francisco Giants,14,Oakland Athletics,2
Toronto Blue Jays,6,Philadelphia Phillies,3
St. Louis Cardinals,2,Pittsburgh Pirates,1
Seattle Mariners,4,San Diego Padres,7
Texas Rangers,5,Los Angeles Angels,8
Miami Marlins,4,Atlanta Braves,5
Milwaukee Brewers,3,Cincinnati Reds,6
Chicago White Sox,4,Cleveland Indians,7
St. Louis Cardinals,1,Kansas City Royals,4
Tampa Bay Rays,2,New York Mets,1
Chicago Cubs,5,Pittsburgh Pirates,0
Houston Astros,1,Seattle Mariners,6
Colorado Rockies,7,San Francisco Giants,2
New York Yankees,5,Toronto Blue Jays,11
Philadelphia Phillies,1,Washington Nationals,5
Texas Rangers,0,Arizona D'Backs,7
Miami Marlins,1,Atlanta Braves,11
Baltimore Orioles,3,Boston Red Sox,8
Milwaukee Brewers,3,Cincinnati Reds,2
Chicago White Sox,3,Cleveland Indians,5
St. Louis Cardinals,5,Kansas City Royals,0
Oakland Athletics,2,Los Angeles Dodgers,7
Detroit Tigers,4,Minnesota Twins,5
Tampa Bay Rays,2,New York Mets,5
Chicago Cubs,2,Pittsburgh Pirates,3
Los Angeles Angels,4,San Diego Padres,2
Houston Astros,6,Seattle Mariners,1
Colorado Rockies,2,San Francisco Giants,5
New York Yankees,12,Toronto Blue Jays,1
Philadelphia Phillies,1,Washington Nationals,5
Philadelphia Phillies,7,Washington Nationals,8
Texas Rangers,3,Arizona D'Backs,7
Miami Marlins,4,Atlanta Braves,9
Baltimore Orioles,1,Boston Red Sox,9
Milwaukee Brewers,1,Cincinnati Reds,6
Chicago White Sox,2,Cleveland Indians,3
St. Louis Cardinals,3,Kansas City Royals,12
Oakland Athletics,6,Los Angeles Dodgers,4
Detroit Tigers,6,Minnesota Twins,7
Tampa Bay Rays,8,New York Mets,5
Chicago Cubs,1,Pittsburgh Pirates,2
Los Angeles Angels,5,San Diego Padres,2
Houston Astros,2,Seattle Mariners,3
Colorado Rockies,2,San Francisco Giants,7
New York Yankees,1,Toronto Blue Jays,14
Philadelphia Phillies,12,Washington Nationals,3
Miami Marlins,4,Atlanta Braves,2
Baltimore Orioles,13,Boston Red Sox,1
Chicago White Sox,4,Cleveland Indians,5
Detroit Tigers,7,Kansas City Royals,8
Oakland Athletics,1,Los Angeles Dodgers,5
Chicago Cubs,0,Pittsburgh Pirates,7
Colorado Rockies,5,San Francisco Giants,4
Milwaukee Brewers,2,St. Louis Cardinals,4
Houston Astros,12,Texas Rangers,4
New York Yankees,1,Toronto Blue Jays,4
New York Mets,3,Washington Nationals,2
Colorado Rockies,0,Arizona D'Backs,4
Colorado Rockies,5,Arizona D'Backs,11
Boston Red Sox,7,Atlanta Braves,8
Chicago Cubs,10,Chicago White Sox,0
Pittsburgh Pirates,3,Cleveland Indians,4
Detroit Tigers,2,Kansas City Royals,3
Los Angeles Angels,5,Los Angeles Dodgers,9
Cincinnati Reds,7,Minnesota Twins,2
Miami Marlins,4,New York Yankees,3
Seattle Mariners,1,Oakland Athletics,3
San Diego Padres,4,San Francisco Giants,5
San Diego Padres,6,San Francisco Giants,5
Milwaukee Brewers,3,St. Louis Cardinals,0
Milwaukee Brewers,1,St. Louis Cardinals,9
Philadelphia Phillies,4,Tampa Bay Rays,6
Houston Astros,4,Texas Rangers,5
Baltimore Orioles,5,Toronto Blue Jays,10
Colorado Rockies,10,Arizona D'Backs,3
Boston Red Sox,8,Atlanta Braves,2
Chicago Cubs,5,Chicago White Sox,9
Pittsburgh Pirates,8,Cleveland Indians,0
Detroit Tigers,4,Kansas City Royals,3
Los Angeles Angels,6,Los Angeles Dodgers,7
Cincinnati Reds,3,Minnesota Twins,7
Miami Marlins,4,New York Yankees,11
Seattle Mariners,5,Oakland Athletics,1
Seattle Mariners,12,Oakland Athletics,3
San Diego Padres,6,San Francisco Giants,2
Milwaukee Brewers,3,St. Louis Cardinals,0
Philadelphia Phillies,3,Tampa Bay Rays,4
Houston Astros,1,Texas Rangers,6
Baltimore Orioles,2,Toronto Blue Jays,5
New York Mets,3,Washington Nationals,4
New York Mets,3,Washington Nationals,5
Colorado Rockies,3,Arizona D'Backs,11
Boston Red Sox,9,Atlanta Braves,1
Chicago Cubs,10,Chicago White Sox,8
Pittsburgh Pirates,6,Cleveland Indians,8
Detroit Tigers,1,Kansas City Royals,3
Los Angeles Angels,0,Los Angeles Dodgers,5
Cincinnati Reds,5,Minnesota Twins,3
Miami Marlins,5,New York Yankees,0
Seattle Mariners,2,Oakland Athletics,6
San Diego Padres,5,San Francisco Giants,4
Milwaukee Brewers,2,St. Louis Cardinals,5
Philadelphia Phillies,0,Tampa Bay Rays,5
Houston Astros,4,Texas Rangers,8
Baltimore Orioles,7,Toronto Blue Jays,5
New York Mets,5,Washington Nationals,15
